Date,City,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
2016-01-01,Dammam,24.9,16.8,20.5,,,2,,,29.2,107.75,31.7,7.4,25.7,77.88,Rain
2016-01-02,Dammam,22.6,17.2,19.9,,,0,,,35.7,236.04,,8.5,46.6,69.92,Partially cloudy
2016-01-03,Dammam,16.8,11.3,13.9,,,0,,,45.5,318.92,,9.9,13.4,55.57,Clear
2016-01-04,Dammam,18.3,9.8,13.3,6.9,,0,,,28.6,315.67,,10,13,56.54,Clear
2016-01-05,Dammam,19.6,11.6,15.3,,,0,,,17.7,301.08,,9.6,42.1,58.43,Partially cloudy
2016-01-06,Dammam,22.7,10.1,16,,,0,,,12.5,268.58,,10,4.2,53.27,Clear
2016-01-07,Dammam,21.9,12.3,16.5,,,0,,,18.5,244.96,,9.3,0.2,59.23,Clear
2016-01-08,Dammam,22.2,11.9,17,,,0,,,23.9,160.88,,8.8,3.1,64.46,Clear
2016-01-09,Dammam,23.9,15.8,19.8,,,0,,,29.2,195.54,,7,51.1,60.23,Partially cloudy
2016-01-10,Dammam,21.6,14.3,17.7,,,0,,,28.7,326.46,,8.3,8.7,55.88,Clear
2016-01-11,Dammam,19.6,11.1,14.9,,,0,,,28.5,320.42,,10.1,4.2,54.23,Clear
2016-01-12,Dammam,19.6,9,14.6,6.6,,0,,,20.4,278.5,,9.3,32,60.83,Partially cloudy
2016-01-13,Dammam,19.6,12.3,15.3,,,0,,,29.5,308.13,,9.7,15,54.7,Clear
2016-01-14,Dammam,20.7,9.7,14.1,7.3,,0,,,25.7,298.79,,9.9,0,60.82,Clear
2016-01-15,Dammam,20.9,8.2,14.4,7.4,,0,,,11,217.63,,9.3,0.2,62.71,Clear
2016-01-16,Dammam,23.4,8.7,15.7,7.7,,0,,,16.8,292.17,,8.3,0,58.25,Clear
2016-01-17,Dammam,22.6,13.3,16.9,,,0,,,24.8,307.75,,7.8,0.3,64.55,Clear
2016-01-18,Dammam,22.8,10.4,16.3,,,0,,,14.4,233.04,,8.4,0,67.16,Clear
2016-01-19,Dammam,22.2,10.6,16.1,,,0,,,20.9,124.88,68.4,5.8,4.8,72.34,Clear
2016-01-20,Dammam,24.6,12.5,18,,,0,,,13.5,155,,7.4,1.9,64.47,Clear
2016-01-21,Dammam,24.1,13.6,17.9,,,0,,,19.3,290.04,,4.5,0.7,75.03,Clear
2016-01-22,Dammam,24.4,12.4,17.7,,,0,,,18,256.38,,7.2,10.5,62.42,Clear
2016-01-23,Dammam,26,13.2,18.8,,,0,,,16.4,187.33,33.5,8.5,14.7,58.14,Clear
2016-01-24,Dammam,25.6,16.8,20.7,,,0,,,30.9,136.29,,8.4,5.8,60.18,Clear
2016-01-25,Dammam,21.5,15.6,18.6,,,0,,,30.6,304.96,,6.8,45.2,66.27,Partially cloudy
2016-01-26,Dammam,20.3,14.4,17.6,,,0,,,32.7,201.04,,10,45,46.24,Partially cloudy
2016-01-27,Dammam,19,12.4,16,,,0,,,35.1,301.25,,9.6,24.1,55.22,Clear
2016-01-28,Dammam,18,10,14,6.2,,0,,,37.1,326.79,,10,19.2,51.54,Clear
2016-01-29,Dammam,14.3,6,9.4,1.1,,0,,,36.3,307.71,,9.7,10,39.3,Clear
2016-01-30,Dammam,15.6,5.4,9.8,1.5,,0,,,35.2,305.75,,10,1.9,26.95,Clear
2016-01-31,Dammam,18.6,5.4,11.4,2,,0,,,86.3,277.21,,10,5.2,40.05,Clear
2016-02-01,Dammam,19.6,6.2,12,3.1,,0,,,22,299.88,,9.9,0.1,44.17,Clear
2016-02-02,Dammam,20.5,6.5,12.8,4,,0,,,18.4,221.29,,9.7,1.8,50.55,Clear
2016-02-03,Dammam,20.8,9.9,14.8,8.6,,0,,,20.8,303.67,,8.9,22.1,61.44,Clear
2016-02-04,Dammam,21.5,10,15.4,,,0,,,36.9,316.96,,9.3,0.3,55.21,Clear
2016-02-05,Dammam,22.6,9.1,15.3,6.5,,0,,,21.8,197.92,,9.9,0,61.84,Clear
2016-02-06,Dammam,22.9,8.1,15.3,6.6,,0,,,18.4,222.17,,8.7,0.1,55.91,Clear
2016-02-07,Dammam,23.6,13.5,18.3,,,0,,,31.4,147,,9.7,0.6,47.96,Clear
2016-02-08,Dammam,21.9,14.9,18.3,,,0,,,37.6,273.38,,8.5,22.6,55.82,Clear
2016-02-09,Dammam,20.6,11.1,15.7,,,0,,,31.6,325.04,,9.4,1.5,50.75,Clear
2016-02-10,Dammam,20.6,8.8,14.4,6.1,,0,,,22.8,232.46,,10.1,0.1,55.28,Clear
